% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
0,1000,structures.Agent@c4437c4,structures.Agent@238e0d81,null,
0,1000,structures.Agent@c4437c4,structures.Agent@506e1b77,null,
0,1000,structures.Agent@433c675d,structures.Agent@377dca04,null,
0,1000,structures.Agent@1a6c5a9e,structures.Agent@34c45dca,null,
0,1000,structures.Agent@37bba400,structures.Agent@1f17ae12,null,
0,1000,structures.Agent@37bba400,structures.Agent@378fd1ac,null,
0,1000,structures.Agent@179d3b25,structures.Agent@3f91beef,null,
0,1000,structures.Agent@179d3b25,structures.Agent@7b23ec81,null,
0,1000,structures.Agent@179d3b25,structures.Agent@7291c18f,null,
0,1000,structures.Agent@179d3b25,structures.Agent@5f184fc6,null,
0,1000,structures.Agent@254989ff,structures.Agent@506e1b77,null,
0,1000,structures.Agent@254989ff,structures.Agent@76fb509a,null,
0,1000,structures.Agent@49c2faae,structures.Agent@7530d0a,null,
0,1000,structures.Agent@20ad9418,structures.Agent@31cefde0,null,
0,1000,structures.Agent@439f5b3d,structures.Agent@3feba861,null,
0,1000,structures.Agent@1d56ce6a,structures.Agent@5fd0d5ae,null,
0,1000,structures.Agent@5197848c,structures.Agent@17a7cec2,null,
0,1000,structures.Agent@17f052a3,structures.Agent@34a245ab,null,
0,1000,structures.Agent@17f052a3,structures.Agent@4edde6e5,null,
0,1000,structures.Agent@17f052a3,structures.Agent@37bba400,null,
0,1000,structures.Agent@2e0fa5d3,structures.Agent@10f87f48,null,
0,1000,structures.Agent@2e0fa5d3,structures.Agent@300ffa5d,null,
0,1000,structures.Agent@2e0fa5d3,structures.Agent@2e5d6d97,null,
0,1000,structures.Agent@5010be6,structures.Agent@6193b845,null,
0,1000,structures.Agent@5010be6,structures.Agent@2e0fa5d3,null,
0,1000,structures.Agent@685f4c2e,structures.Agent@300ffa5d,null,
0,1000,structures.Agent@2e5d6d97,structures.Agent@4769b07b,null,
0,1000,structures.Agent@2e5d6d97,structures.Agent@2e817b38,null,
0,1000,structures.Agent@238e0d81,structures.Agent@b4c966a,null,
1,1000,structures.Agent@4d76f3f8,structures.Agent@f2a0b8e,null,
1,1000,structures.Agent@4d76f3f8,structures.Agent@51521cc1,null,
1,1000,structures.Agent@4d76f3f8,structures.Agent@7dc5e7b4,null,
1,1000,structures.Agent@4534b60d,structures.Agent@6d9c638,null,
1,1000,structures.Agent@4534b60d,structures.Agent@18769467,null,
1,1000,structures.Agent@619a5dff,structures.Agent@b1a58a3,null,
1,1000,structures.Agent@619a5dff,structures.Agent@5e8c92f4,null,
1,1000,structures.Agent@1ed6993a,structures.Agent@5e8c92f4,null,
1,1000,structures.Agent@497470ed,structures.Agent@dcf3e99,null,
1,1000,structures.Agent@497470ed,structures.Agent@3581c5f3,null,
1,1000,structures.Agent@497470ed,structures.Agent@3d82c5f3,null,
1,1000,structures.Agent@63c12fb0,structures.Agent@2957fcb0,null,
1,1000,structures.Agent@6438a396,structures.Agent@3fa77460,null,
1,1000,structures.Agent@6438a396,structures.Agent@2b05039f,null,
1,1000,structures.Agent@e2144e4,structures.Agent@18769467,null,
1,1000,structures.Agent@6477463f,structures.Agent@2957fcb0,null,
1,1000,structures.Agent@6477463f,structures.Agent@7e774085,null,
1,1000,structures.Agent@6477463f,structures.Agent@5b80350b,null,
1,1000,structures.Agent@1cf4f579,structures.Agent@1ed6993a,null,
1,1000,structures.Agent@18769467,structures.Agent@1ed6993a,null,
1,1000,structures.Agent@18769467,structures.Agent@17d10166,null,
1,1000,structures.Agent@18769467,structures.Agent@15615099,null,
1,1000,structures.Agent@18769467,structures.Agent@3d71d552,null,
1,1000,structures.Agent@18769467,structures.Agent@64a294a6,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@6d9c638,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@6ae40994,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@722c41f4,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@5fcfe4b2,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@ee7d9f1,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@41975e01,null,
1,1000,structures.Agent@46ee7fe8,structures.Agent@504bae78,null,
1,1000,structures.Agent@7506e922,structures.Agent@5eb5c224,null,
1,1000,structures.Agent@4ee285c6,structures.Agent@63c12fb0,null,
1,1000,structures.Agent@621be5d1,structures.Agent@7e774085,null,
1,1000,structures.Agent@573fd745,structures.Agent@7e774085,null,
1,1000,structures.Agent@15327b79,structures.Agent@53e25b76,null,
1,1000,structures.Agent@15327b79,structures.Agent@442d9b6e,null,
1,1000,structures.Agent@722c41f4,structures.Agent@78e03bb5,null,
1,1000,structures.Agent@722c41f4,structures.Agent@46ee7fe8,null,
1,1000,structures.Agent@5b80350b,structures.Agent@497470ed,null,
1,1000,structures.Agent@5d6f64b1,structures.Agent@dcf3e99,null,
1,1000,structures.Agent@5d6f64b1,structures.Agent@3581c5f3,null,
1,1000,structures.Agent@78e03bb5,structures.Agent@368102c8,null,
1,1000,structures.Agent@78e03bb5,structures.Agent@aec6354,null,
1,1000,structures.Agent@5e8c92f4,structures.Agent@18769467,null,
1,1000,structures.Agent@61e4705b,structures.Agent@7dc5e7b4,null,
1,1000,structures.Agent@50134894,structures.Agent@4e515669,null,
1,1000,structures.Agent@51521cc1,structures.Agent@7dc5e7b4,null,
1,1000,structures.Agent@51521cc1,structures.Agent@1ee0005,null,
1,1000,structures.Agent@51521cc1,structures.Agent@f2a0b8e,null,
1,1000,structures.Agent@51521cc1,structures.Agent@53e25b76,null,
1,1000,structures.Agent@1b4fb997,structures.Agent@2957fcb0,null,
1,1000,structures.Agent@1b4fb997,structures.Agent@48533e64,null,
1,1000,structures.Agent@deb6432,structures.Agent@6d9c638,null,
1,1000,structures.Agent@deb6432,structures.Agent@1edf1c96,null,
1,1000,structures.Agent@deb6432,structures.Agent@32a1bec0,null,
1,1000,structures.Agent@28ba21f3,structures.Agent@66cd51c3,null,
1,1000,structures.Agent@694f9431,structures.Agent@1b701da1,null,
1,1000,structures.Agent@f2a0b8e,structures.Agent@4d76f3f8,null,
1,1000,structures.Agent@593634ad,structures.Agent@3b95a09c,null,
1,1000,structures.Agent@593634ad,structures.Agent@3d82c5f3,null,
1,1000,structures.Agent@593634ad,structures.Agent@2530c12,null,
1,1000,structures.Agent@20fa23c1,structures.Agent@484b61fc,null,
1,1000,structures.Agent@20fa23c1,structures.Agent@45fe3ee3,null,
1,1000,structures.Agent@3581c5f3,structures.Agent@1b4fb997,null,
1,1000,structures.Agent@2530c12,structures.Agent@3581c5f3,null,
1,1000,structures.Agent@73c6c3b2,structures.Agent@ee7d9f1,null,
1,1000,structures.Agent@48533e64,structures.Agent@621be5d1,null,
1,1000,structures.Agent@48533e64,structures.Agent@4dcbadb4,null,
1,1000,structures.Agent@7e0b37bc,structures.Agent@f2a0b8e,null,
1,1000,structures.Agent@3b95a09c,structures.Agent@48533e64,null,
1,1000,structures.Agent@3b95a09c,structures.Agent@6477463f,null,
1,1000,structures.Agent@6ae40994,structures.Agent@c2e1f26,null,
1,1000,structures.Agent@1a93a7ca,structures.Agent@b1a58a3,null,
1,1000,structures.Agent@1a93a7ca,structures.Agent@694f9431,null,
1,1000,structures.Agent@1a93a7ca,structures.Agent@7506e922,null,
1,1000,structures.Agent@61e717c2,structures.Agent@50134894,null,
1,1000,structures.Agent@61e717c2,structures.Agent@53e25b76,null,
1,1000,structures.Agent@61e717c2,structures.Agent@ea30797,null,
1,1000,structures.Agent@66cd51c3,structures.Agent@7ab2bfe1,null,
1,1000,structures.Agent@66cd51c3,structures.Agent@759ebb3d,null,
1,1000,structures.Agent@66cd51c3,structures.Agent@41975e01,null,
1,1000,structures.Agent@66cd51c3,structures.Agent@64a294a6,null,
1,1000,structures.Agent@4dcbadb4,structures.Agent@6477463f,null,
1,1000,structures.Agent@4dcbadb4,structures.Agent@593634ad,null,
1,1000,structures.Agent@4e515669,structures.Agent@7e0b37bc,null,
1,1000,structures.Agent@17d10166,structures.Agent@5eb5c224,null,
1,1000,structures.Agent@1b9e1916,structures.Agent@78e03bb5,null,
1,1000,structures.Agent@1b9e1916,structures.Agent@3b764bce,null,
1,1000,structures.Agent@1b9e1916,structures.Agent@75a1cd57,null,
1,1000,structures.Agent@1b9e1916,structures.Agent@2b05039f,null,
1,1000,structures.Agent@ba8a1dc,structures.Agent@20fa23c1,null,
1,1000,structures.Agent@4f8e5cde,structures.Agent@28ba21f3,null,
1,1000,structures.Agent@4f8e5cde,structures.Agent@b1a58a3,null,
1,1000,structures.Agent@4f8e5cde,structures.Agent@4534b60d,null,
1,1000,structures.Agent@3b764bce,structures.Agent@45fe3ee3,null,
1,1000,structures.Agent@3b764bce,structures.Agent@41975e01,null,
1,1000,structures.Agent@759ebb3d,structures.Agent@4f8e5cde,null,
1,1000,structures.Agent@45fe3ee3,structures.Agent@504bae78,null,
1,1000,structures.Agent@45fe3ee3,structures.Agent@6aa8ceb6,null,
1,1000,structures.Agent@45fe3ee3,structures.Agent@4f8e5cde,null,
1,1000,structures.Agent@45fe3ee3,structures.Agent@2b05039f,null,
1,1000,structures.Agent@4cdf35a9,structures.Agent@3b764bce,null,
