% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,,Results
Seed,Timestep,Agent#,Agent,sensitivity,signal,
1,1000,31,structures.Agent@78e03bb5,1.0,0.0,
1,1000,32,structures.Agent@5e8c92f4,1.0,0.0,
1,1000,33,structures.Agent@61e4705b,1.0,0.0,
1,1000,34,structures.Agent@50134894,1.0,0.0,
1,1000,35,structures.Agent@2957fcb0,1.0,0.0,
1,1000,36,structures.Agent@1376c05c,0.6557654801550498,0.0,
1,1000,37,structures.Agent@51521cc1,1.0,0.0,
1,1000,38,structures.Agent@1b4fb997,1.0,0.0,
1,1000,39,structures.Agent@deb6432,1.0,0.0,
1,1000,40,structures.Agent@28ba21f3,1.0,0.0,
1,1000,41,structures.Agent@694f9431,1.0,0.0,
1,1000,42,structures.Agent@f2a0b8e,1.0,0.0,
1,1000,43,structures.Agent@593634ad,1.0,0.0,
1,1000,44,structures.Agent@20fa23c1,1.0,0.0,
1,1000,45,structures.Agent@3581c5f3,1.0,0.0,
1,1000,46,structures.Agent@6aa8ceb6,1.0,0.0,
1,1000,47,structures.Agent@2530c12,1.0,0.0,
1,1000,48,structures.Agent@73c6c3b2,1.0,0.0,
1,1000,49,structures.Agent@48533e64,1.0,0.0,
1,1000,50,structures.Agent@64a294a6,1.0,0.0,
1,1000,51,structures.Agent@7e0b37bc,1.0,0.0,
1,1000,52,structures.Agent@3b95a09c,1.0,0.0,
1,1000,53,structures.Agent@6ae40994,1.0,0.0,
1,1000,54,structures.Agent@1a93a7ca,1.0,0.0,
1,1000,55,structures.Agent@3d82c5f3,1.0,0.0,
1,1000,56,structures.Agent@2b05039f,1.0,0.0,
1,1000,57,structures.Agent@61e717c2,1.0,0.0,
1,1000,58,structures.Agent@66cd51c3,1.0,0.0,
1,1000,59,structures.Agent@4dcbadb4,1.0,0.0,
1,1000,60,structures.Agent@4e515669,1.0,0.0,
1,1000,61,structures.Agent@17d10166,1.0,0.0,
1,1000,62,structures.Agent@1b9e1916,1.0,0.0,
1,1000,63,structures.Agent@ba8a1dc,1.0,0.0,
1,1000,64,structures.Agent@4f8e5cde,1.0,0.0,
1,1000,65,structures.Agent@504bae78,1.0,0.0,
1,1000,66,structures.Agent@3b764bce,1.0,0.0,
1,1000,67,structures.Agent@759ebb3d,1.0,0.0,
1,1000,68,structures.Agent@484b61fc,1.0,0.0,
1,1000,69,structures.Agent@45fe3ee3,1.0,0.0,
1,1000,70,structures.Agent@4cdf35a9,1.0,0.0,
1,1000,71,structures.Agent@4c98385c,1.0,0.0,
